Project Name,FAST-pw,FAST-pw,FAST-all,FAST-all,ART-D,ART-D,ART-F,ART-F,GeTLO,GeTLO,OGA,OGA
,Time,APFD,Time,APFD,Time,APFD,Time,APFD,Time,APFD,Time,APFD
S38 streamex_v1 (450 TS),0.2206,0.5711,0.1829,0.5714,5.4362,0.6798,5.3466,0.6362,3.8098,0.8664,0.0098✓,0.8661
S39 rome1.5.0_v1 (475 TS),47.3979,0.7920,48.2448,0.8007,1248.1975,0.8381,2204.2127,0.7561,782.2669,0.9360,0.1674✓,0.9303
S40 joss_v1 (531 TS),0.2587,0.5653,0.2055,0.7646,6.0894,0.7579,5.9361,0.7321,2.7878,0.9170,0.0224✓,0.9138
S41 commonsdbcp_v1 (560 TS),0.6649,0.7705,0.5927,0.7472,15.8343,0.7721,29.3087,0.7338,6.7547,0.9465,0.0180✓,0.9390
S42 la4j_v1 (625 TS),2.3260,0.7848,2.2250,0.7701,46.5359,0.8148,134.5148,0.8110,20.0405,0.8454,0.0131✓,0.8244
S43 jsoup_v1 (666 TS),1.6898,0.7508,1.5815,0.8141,75.9117,0.8260,91.8580,0.8222,14.8583,0.9333,0.0527✓,0.9320
S44 languagetool_v1 (719 TS),2.3693,0.5264,2.2687,0.4776,106.5109,0.6753,79.0342,0.6050,28.9242,0.8695,0.0341✓,0.8623
S45 joptsimple_v1 (727 ST),0.7667,0.7549,0.6776,0.8679,25.0188,0.8796,49.4618,0.8861,6.0372,0.9157,0.0209✓,0.9113
S46 la4jnew_v1 (799 TS),0.6521,0.5664,0.5572,0.5985,22.7831,0.8702,29.7720,0.8204,8.6795,0.9424,0.0252✓,0.9461
S47 blueflood_v1 (961 TS),0.3677,0.7003,0.1574,0.6904,9.1356,0.7437,7.3975,0.7185,8.6232,0.9095,0.0194✓,0.9081
S48 commonsio_v1 (1081 TS),0.4036,0.7135,0.1221,0.6856,11.2116,0.7172,8.8753,0.7261,9.9893,0.8905,0.0230✓,0.8904
S49 vraptorarchive_v1 (1130 TS),0.7149,0.7017,0.4721,0.7806,70.4607,0.7714,19.8673,0.7769,11.3622,0.8674,0.0267✓,0.8663
S50 RoaringBitmap_v1 (1148 TS),0.8120,0.6773,0.5811,0.6853,67.1639,0.7670,49.9108,0.7560,16.3957,0.9261,0.1119✓,0.9235
S51 jsprit_v1 (1250 TS),1.8191,0.6076,1.5731,0.7802,92.0426,0.8366,85.2345,0.8197,32.8399,0.9282,0.0275✓,0.9162
S52 mapdbmapdb1.0.9_v1 (1776 TS),4.9250,0.8232,4.2976,0.8506,678.5042,0.8066,509.5121,0.7626,97.6049,0.9752,0.0766✓,0.9516
S53 assertjcore_v1 (2470 TS),1.4974,0.4796,0.3814,0.7281,16.0160,0.6800,63.3671,0.6417,16.5597,0.8508,0.1217✓,0.8507
S54 camelcore_v1 (5623 TS),36.7121,0.8242,31.9325,0.7936,25061.1960,0.8550,13579.2305,0.8525,2628.0915,0.9554,1.3135✓,0.9516
