Project Name,FAST-pw,,FAST-all,,ART-D,,ART-F,,OGA,
,Time,APFD,Time,APFD,Time,APFD,Time,APFD,Time,APFD
S43 jsoup (666 TS),1.6863,0.7455,1.5726,0.7364,80.5424,0.8300,91.7233,0.8235,0.0547 ✔,0.9320 ✔
S44 languagetool (719 TS),2.3279,0.5334,2.2799,0.6406,141.3434,0.6795,76.7411,0.6309,0.0381 ✔,0.8623 ✔
S45 jopt-simple (727 ST),0.7643,0.7660,0.6619,0.8750,27.5144,0.8725,54.2067,0.8983,0.0224 ✔,0.9113 ✔
S46 la4j-new (799 TS),0.6539,0.5982,0.5487,0.7669,23.4009,0.8317,29.7712,0.7895,0.0259 ✔,0.9461 ✔
S47 blueflood (961 TS),0.3775,0.6514,0.1539,0.7109,8.9166,0.7160,8.1816,0.7031,0.0195 ✔,0.9081 ✔
S48 commons-io (1081 TS),0.4005,0.7057,0.1245,0.6951,10.7234,0.7274,9.6329,0.7173,0.0236 ✔,0.8904 ✔
S49 vraptor_archive (1130 TS),0.7194,0.7155,0.4620,0.7130,68.1922,0.7749,19.8394,0.7713,0.0276 ✔,0.8663 ✔
S50 RoaringBitmap (1148 TS),0.7912,0.6851,0.5756,0.6944,67.1212,0.7571,47.7622,0.7727,0.0343 ✔,0.9235 ✔
S51 jsprit (1250 TS),1.7934,0.6568,1.5535,0.8489,116.0561,0.8391,86.1824,0.8417,0.0296 ✔,0.9162 ✔
S52 mapdb-mapdb-1.0.9 (1776 TS),4.8477,0.8155,4.1437,0.8216,631.5553,0.7901,504.7310,0.7513,0.0848 ✔,0.9516 ✔
S53 assertj-core (2470 TS),1.4927,0.4754,0.3852,0.7103,17.5127,0.6844,69.4281,0.6359,0.1225 ✔,0.8507 ✔
S54 camel-core (5623 TS),36.6584,0.8185,31.5531,0.7896,28041.8956,0.8660,13409.6406,0.8545,1.3404 ✔,0.9516 ✔
